scenario,draw,npv_usd
base,844,4068457.280288431
base,845,6038807.014316578
base,846,4126440.2267529103
base,847,7419666.286935201
base,848,8203240.476461515
base,849,3977958.0230555623
base,850,5826863.181689012
base,851,1527559.8556835097
base,852,9228524.82991111
base,853,9051687.251153253
base,854,4929751.453318432
base,855,4787064.632935001
base,856,2990732.0237751603
base,857,4943328.871878981
base,858,6582525.9176614005
base,859,6693939.246941194
base,860,3085740.751641389
base,861,5065042.683335161
base,862,14086367.793809382
base,863,8612082.013714403
base,864,5613459.851283159
base,865,6681208.339850186
base,866,7547064.258485545
base,867,3940111.147621981
base,868,4538656.512680147
base,869,8335005.196243482
base,870,5640573.4217624385
base,871,6916692.2947249655
base,872,6456893.63389175
base,873,11314114.217768343
base,874,9178394.6352132
base,875,4635392.375843063
base,876,9476180.554186797
base,877,10707128.894554961
base,878,5741664.125338415
base,879,6363303.9532937305
base,880,7136006.630195091
base,881,5369946.784158233
base,882,9037417.973438371
base,883,8627694.688145211
base,884,3429702.1081420467
base,885,5054761.109533228
base,886,5215226.226585212
base,887,5107203.8222246915
base,888,7493172.857424454
base,889,6007291.171974867
base,890,7359505.51663804
base,891,5378976.267454829
base,892,8911520.84643454
base,893,4421571.916637614
base,894,3029246.0989475753
base,895,4239567.5839876905
base,896,11660246.415337943
base,897,10146573.83099337
base,898,7116352.704617526
base,899,8982660.27948273
base,900,4306075.079290947
base,901,2012754.4032716984
base,902,10376632.508409457
base,903,3080638.3005290893
base,904,10577514.08299209
base,905,6481831.454754699
base,906,8395369.459670939
base,907,7778873.585927471
base,908,5554940.898722939
base,909,4141110.969260123
base,910,3414880.179246313
base,911,2740422.745489372
base,912,3523683.914168413
base,913,11535601.775959324
base,914,5734397.86775271
base,915,5373435.176233401
base,916,6878495.689851731
base,917,7126001.377607246
base,918,2351651.537415768
base,919,8399348.90385363
base,920,6190750.789104591
base,921,2469407.965320497
base,922,6007569.435695991
base,923,6145975.139241392
base,924,6061378.252354501
base,925,5013971.587234748
base,926,3609400.853807819
base,927,5597399.014346024
base,928,6285840.819136763
base,929,5352018.5840306
base,930,1780381.3013748862
base,931,1717974.3012508596
base,932,6815068.442405993
base,933,2859774.4230693076
base,934,4278811.448005835
base,935,3078408.4955643066
base,936,6221312.78103234
base,937,2580022.1286263987
base,938,3705791.879353722
base,939,2902269.754680899
base,940,14313624.066995494
base,941,2727186.4485492934
base,942,2124538.2463558097
base,943,7728093.403909568
base,944,6883680.412070251
base,945,9582738.925231209
base,946,4655133.870251317
base,947,10260135.378181683
base,948,5464910.08973076
base,949,4408931.977553069
base,950,5523759.9738025265
base,951,3891602.770549264
base,952,5791737.858732225
base,953,5220112.430679473
base,954,5667325.927996291
base,955,8799459.505660415
base,956,5829776.118071638
base,957,8089750.647185242
base,958,6279317.41996788
base,959,4516110.832875802
base,960,4637538.7009224985
base,961,5957102.371323344
base,962,3564843.717232194
base,963,4055388.615197947
base,964,7132691.725941415
base,965,2665164.205448925
base,966,10406750.099125186
base,967,9890937.722179035
base,968,3941463.8614748474
base,969,6389504.465774405
base,970,5672981.809281975
base,971,4681970.97869226
base,972,5383516.657475187
base,973,5851984.523165891
base,974,4560998.549775087
base,975,5628611.423839163
base,976,7825870.189171564
base,977,4460502.5241434565
base,978,4790341.921878319
base,979,4682905.987873353
base,980,3281948.1092046076
base,981,9361538.42984038
base,982,6620305.99201712
base,983,8593752.33570838
base,984,5191318.866436949
base,985,2501817.412201075
base,986,7852824.902208061
base,987,3017887.110646249
base,988,8243872.824979367
base,989,2214883.882008795
base,990,2719940.1717217015
base,991,5300678.956316548
base,992,5664531.668093981
base,993,3397725.799550879
base,994,8645100.324711395
base,995,9046484.60742247
base,996,6161368.788414956
base,997,7478915.40219667
base,998,4633107.182735421
base,999,9176249.345575681
base,1000,8646542.341994196
base,1001,7230810.700989021
base,1002,5419840.8534038775
base,1003,6054769.896009566
base,1004,9535390.408681858
base,1005,4548955.605825904
base,1006,4625598.576304036
base,1007,11590632.974133775
base,1008,7945536.758343787
base,1009,5318119.159572677
base,1010,2639778.4932030407
base,1011,608074.3669014
base,1012,8621859.358978337
base,1013,7458978.520181026
base,1014,6287105.625675431
base,1015,6851372.335241299
base,1016,3966549.1319348463
base,1017,4737723.811218168
base,1018,9683196.58701365
base,1019,4524888.588432393
base,1020,4082017.87889223
base,1021,7516578.011383664
base,1022,9059775.82948213
base,1023,9380542.336229455
base,1024,7059672.172386376
base,1025,4010749.1833296013
base,1026,4896188.646416406
base,1027,3716708.0109110214
base,1028,1529413.0624784674
base,1029,12429833.287411544
base,1030,7040510.199764653
base,1031,7540176.869240002
base,1032,2492476.082087654
base,1033,8866043.607371077
base,1034,13195517.054900078
base,1035,4509437.990533908
base,1036,2542939.6333017186
